breeds.primary,id.1,organization_id,age,gender,size,coat,tags,name_x,description,status_changed_at,published_at,distance,colors.primary,attributes.spayed_neutered,attributes.house_trained,attributes.special_needs,attributes.shots_current,contact.address.city,contact.address.postcode,animal_id,organization_id.1,name_y
adoptable,Husky,18,18,18,18,18,4,18,18,10,18,18,18,12,18,18,18,18,18,18,18,18,18
adoptable,Irish Wolfhound,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
adoptable,Jack Russell Terrier,10,10,10,10,10,2,10,10,9,10,10,10,5,10,10,10,10,10,10,10,10,10
adoptable,Labradoodle,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adoptable,Labrador Retriever,193,193,193,193,193,35,193,193,100,193,193,193,61,193,193,193,193,193,193,193,193,193
adoptable,Maltese,3,3,3,3,3,0,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3
adoptable,Mastiff,5,5,5,5,5,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
adoptable,Miniature Pinscher,4,4,4,4,4,0,4,4,3,4,4,4,0,4,4,4,4,4,4,4,4,4
adoptable,Mixed Breed,90,90,90,90,90,21,90,90,43,90,90,90,31,90,90,90,90,90,90,90,90,90
adoptable,Mountain Cur,3,3,3,3,3,2,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3
adoptable,Old English Sheepdog,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adoptable,Parson Russell Terrier,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
adoptable,Pekingese,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2
adoptable,Pit Bull Terrier,187,187,187,187,187,31,187,187,120,187,187,187,61,187,187,187,187,187,187,187,187,187
adoptable,Plott Hound,13,13,13,13,13,2,13,13,6,13,13,13,5,13,13,13,13,13,13,13,13,13
adoptable,Pointer,9,9,9,9,9,0,9,9,3,9,9,9,4,9,9,9,9,9,9,9,9,9
adoptable,Pomeranian,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
adoptable,Poodle,2,2,2,2,2,1,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2
adoptable,Pug,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2
adoptable,Rat Terrier,19,19,19,19,19,7,19,19,15,19,19,19,8,19,19,19,19,19,19,19,19,19
adoptable,Redbone Coonhound,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2
adoptable,Retriever,13,13,13,13,13,1,13,13,7,13,13,13,11,13,13,13,13,13,13,13,13,13
adoptable,Rhodesian Ridgeback,7,7,7,7,7,0,7,7,5,7,7,7,2,7,7,7,7,7,7,7,7,7
