breeds.primary,id.1,organization_id,age,gender,size,coat,tags,name_x,description,status_changed_at,published_at,distance,colors.primary,attributes.spayed_neutered,attributes.house_trained,attributes.special_needs,attributes.shots_current,contact.address.city,contact.address.postcode,animal_id,organization_id.1,name_y
adopted,Spaniel,9,9,9,9,9,6,9,9,9,9,9,9,4,9,9,9,9,9,9,9,9,9
adopted,Spitz,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2
adopted,Staffordshire Bull Terrier,34,34,34,34,34,30,34,34,34,34,34,34,27,34,34,34,34,34,34,34,34,34
adopted,Standard Poodle,5,5,5,5,5,1,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5
adopted,Standard Schnauzer,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
adopted,Swedish Vallhund,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Tennessee Treeing Brindle,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Terrier,453,453,453,453,453,284,453,453,423,453,453,453,288,453,453,453,453,453,453,453,453,453
adopted,Tibetan Spaniel,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
adopted,Tibetan Terrier,3,3,3,3,3,0,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
adopted,Toy Fox Terrier,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
adopted,Treeing Walker Coonhound,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
adopted,Vizsla,6,6,6,6,6,5,6,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6
adopted,Weimaraner,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
adopted,Welsh Terrier,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,West Highland White Terrier / Westie,8,8,8,8,8,6,8,8,7,8,8,8,7,8,8,8,8,8,8,8,8,8
adopted,Wheaten Terrier,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
adopted,Whippet,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6
adopted,Wire Fox Terrier,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Wirehaired Dachshund,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
adopted,Wirehaired Terrier,19,19,19,19,19,14,19,19,15,19,19,19,16,19,19,19,19,19,19,19,19,19
adopted,Yellow Labrador Retriever,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
adopted,Yorkshire Terrier,44,44,44,44,44,27,44,44,41,44,44,44,28,44,44,44,44,44,44,44,44,44
