breeds.primary,0
adopted,Pyrenean Shepherd,1
adopted,Rat Terrier,61
adopted,Redbone Coonhound,3
adopted,Retriever,63
adopted,Rhodesian Ridgeback,12
adopted,Rottweiler,46
adopted,Saint Bernard,4
adopted,Samoyed,1
adopted,Schipperke,8
adopted,Schnauzer,86
adopted,Schnoodle,5
adopted,Shar-Pei,21
adopted,Sheep Dog,1
adopted,Shepherd,222
adopted,Shetland Sheepdog / Sheltie,8
adopted,Shiba Inu,1
adopted,Shih Tzu,63
adopted,Siberian Husky,14
adopted,Silky Terrier,2
adopted,Skye Terrier,1
adopted,Spaniel,9
adopted,Spitz,2
adopted,Staffordshire Bull Terrier,34
adopted,Standard Poodle,5
adopted,Standard Schnauzer,2
adopted,Swedish Vallhund,1
adopted,Tennessee Treeing Brindle,1
adopted,Terrier,453
adopted,Tibetan Spaniel,2
adopted,Tibetan Terrier,3
adopted,Toy Fox Terrier,4
adopted,Treeing Walker Coonhound,2
adopted,Vizsla,6
adopted,Weimaraner,4
adopted,Welsh Terrier,1
adopted,West Highland White Terrier / Westie,8
adopted,Wheaten Terrier,7
adopted,Whippet,6
adopted,Wire Fox Terrier,1
adopted,Wirehaired Dachshund,3
adopted,Wirehaired Terrier,19
adopted,Yellow Labrador Retriever,11
adopted,Yorkshire Terrier,44
